[2024-07-29 14:31:45,570: INFO: main welcome to custom logs]
[2024-07-29 15:34:05,211: INFO: main welcome to custom logs]
[2024-07-29 17:28:04,596: INFO: main welcome to custom logs]
[2024-07-29 21:10:16,906: INFO: main welcome to custom logs]
[2024-07-30 13:53:52,758: INFO: main >>>>> Stage Data Ingestion Stage started >>>>>]
[2024-07-30 13:53:52,758: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-07-30 13:53:52,774: INFO: common yaml file: params.yaml loaded successfully]
[2024-07-30 13:53:52,775: INFO: common created directory at: artifacts]
[2024-07-30 13:53:52,775: INFO: common created directory at: artifacts/data_ingestion]
[2024-07-30 13:53:52,775: INFO: data_ingestion Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-07-30 13:54:03,297: INFO: data_ingestion Data downloaded from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-07-30 13:54:03,862: INFO: data_ingestion Zip file extracted]
[2024-07-30 13:54:03,862: INFO: main >>>>> Stage Data Ingestion Stage finished >>>>>]
[2024-08-01 13:38:41,331: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 13:38:41,465: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 13:38:41,479: INFO: common created directory at: artifacts]
[2024-08-01 13:39:13,208: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 13:39:13,211: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 13:39:13,214: INFO: common created directory at: artifacts]
[2024-08-01 13:40:22,809: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 13:40:22,812: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 13:40:22,814: INFO: common created directory at: artifacts]
[2024-08-01 13:40:48,377: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 13:40:48,377: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 13:40:48,377: INFO: common created directory at: artifacts]
[2024-08-01 13:40:48,377: INFO: common created directory at: artifacts/base_model]
[2024-08-01 13:44:31,571: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 13:44:31,576: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 13:44:31,580: INFO: common created directory at: artifacts]
[2024-08-01 13:44:31,582: INFO: common created directory at: artifacts/base_model]
[2024-08-01 13:44:50,381: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 13:44:50,386: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 13:44:50,389: INFO: common created directory at: artifacts]
[2024-08-01 13:44:50,392: INFO: common created directory at: artifacts/base_model]
[2024-08-01 14:58:26,655: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 14:58:26,660: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 14:58:26,663: INFO: common created directory at: artifacts]
[2024-08-01 14:58:26,665: INFO: common created directory at: artifacts/base_model]
[2024-08-01 14:58:44,597: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 14:58:44,601: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 14:58:44,602: INFO: common created directory at: artifacts]
[2024-08-01 14:58:44,604: INFO: common created directory at: artifacts/base_model]
[2024-08-01 15:09:36,101: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:09:36,104: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:09:36,106: INFO: common created directory at: artifacts]
[2024-08-01 15:09:36,108: INFO: common created directory at: artifacts/base_model]
[2024-08-01 15:13:58,453: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:13:58,458: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:13:58,460: INFO: common created directory at: artifacts]
[2024-08-01 15:13:58,462: INFO: common created directory at: artifacts/base_model]
[2024-08-01 15:15:03,607: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:15:03,610: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:15:03,611: INFO: common created directory at: artifacts]
